书名,别名,链接,信息,评分,评分人数,描述
笑傲江湖（全四册）,笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,9.0,101503,欲练此功，必先自宫
万历十五年,万历十五年,https://book.douban.com/subject/1041482/,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,8.9,175893,见微知著，历史观的颠覆
冰与火之歌（卷一）:权力的游戏, : 权力的游戏 ,https://book.douban.com/subject/1336330/,[美] 乔治·R. R. 马丁 / 谭光磊 / 重庆出版社 / 2005-5 / 68.00元,9.3,37985,凛冬将至。无比宏大的世界观
呐喊,呐喊,https://book.douban.com/subject/1449351/,鲁迅 / 人民文学出版社 / 1973-3 / 0.36元,9.0,131616,新文学的第一声呐喊
东方快车谋杀案,Murder on the Orient Express,https://book.douban.com/subject/1827374/,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,9.0,121697,谋杀诡计惊人，波洛的抉择耐人寻味
杀死一只知更鸟,To Kill a Mocking Bird,https://book.douban.com/subject/6781808/,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,9.2,116970,有一种东西不能遵循从众原则，那就是——人的良心
中国历代政治得失,中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,9.2,57692,一部简明的“中国政治制度史”
傲慢与偏见,Pride and Prejudice,https://book.douban.com/subject/1083428/,[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元,8.9,214991,所有现代言情小说的母体
江城,River Town,https://book.douban.com/subject/7060185/,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元,9.1,50674,外国人眼中的涪陵
寻路中国:从乡村到工厂的自驾之旅, : 从乡村到工厂的自驾之旅 ,https://book.douban.com/subject/5414391/,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元,9.0,49691,《纽约客》驻北京记者驾车漫游中国大陆的经历
射雕英雄传,射雕英雄传,https://book.douban.com/subject/1044547/,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,9.0,76099,侠之大者，为国为民
黄金时代:时代三部曲, : 时代三部曲 ,https://book.douban.com/subject/1089243/,王小波 / 花城出版社 / 1999-3 / 19.00元,8.9,149629,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
新名字的故事:那不勒斯四部曲2, : 那不勒斯四部曲2 ,https://book.douban.com/subject/26986954/,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元,9.1,68198,探索青年时代的激情、困惑、挣扎、背叛和失去
无人生还,And Then There Were None,https://book.douban.com/subject/3006581/,[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,8.9,127261,童谣杀人案
刀锋,The Razor's Edge,https://book.douban.com/subject/2035162/,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元,9.0,73904,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
格林童话全集,Kinder-und Hausmärchen,https://book.douban.com/subject/1043008/,[德国]格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,9.0,84616,一本有教育意义的书
失踪的孩子:那不勒斯四部曲4, : 那不勒斯四部曲4 ,https://book.douban.com/subject/30172069/,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2018-7 / 62.00元,9.2,57456,我的整个生命，只是一场为了提升社会地位的低俗斗争。
看见,看见,https://book.douban.com/subject/20427187/,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,8.8,314399,在这里看见中国
神雕侠侣,神鵰俠侶,https://book.douban.com/subject/1255624/,金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,8.9,92280,至情至性，情大于武
城南旧事:纪念普及版, : 纪念普及版 ,https://book.douban.com/subject/1254588/,林海音 文 / 中国青年出版社 / 2003-7 / 16.00元,9.0,131688,长亭外，古道边，芳草碧连天
乡土中国,乡土中国,https://book.douban.com/subject/1795079/,费孝通 / 上海人民出版社 / 2006-04-01 / 38.00,9.2,63487,中国乡土社会传统文化和社会结构理论研究代表作
历史深处的忧虑:近距离看美国之一, : 近距离看美国之一 ,https://book.douban.com/subject/1027191/,林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元,9.0,41756,窥见美国社会的一扇窗
许三观卖血记,许三观卖血记,https://book.douban.com/subject/1029791/,余华 / 南海出版公司 / 1998-9 / 16.80元,8.8,223401,以博大的温情描绘磨难中的人生
灿烂千阳,A Thousand Splendid Suns,https://book.douban.com/subject/2143732/,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,8.8,108711,唯有希望与爱可以驱散阴霾
我与地坛:史铁生代表作, : 史铁生代表作 ,https://book.douban.com/subject/1209899/,史铁生 / 春风文艺出版社 / 2002-5 / 25.00元,9.1,83106,这是你的罪孽与福祉
白鹿原:20周年精装典藏版, : 20周年精装典藏版 ,https://book.douban.com/subject/10564071/,陈忠实 / 人民文学出版社 / 2012-9 / 39.00元,9.2,80411,一轴关于我们民族灵魂的现实主义画卷
哭泣的骆驼,哭泣的骆驼,https://book.douban.com/subject/1029111/,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,8.9,52726,沙漠中寻常的生与死
悲惨世界（上中下）,Les Misérables,https://book.douban.com/subject/1205054/,[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元,9.0,57966,现实主义与浪漫主义的至高杰作
朝花夕拾,朝花夕拾,https://book.douban.com/subject/1449352/,鲁迅 / 人民文学出版社 / 1973-4 / 0.25元,8.9,127033,在纷扰中寻出一点闲静
窗边的小豆豆,窓ぎわのトットちゃん,https://book.douban.com/subject/1007914/,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,8.7,188749,真正懂孩子的教育经
史记（全十册）,史记（全十册）,https://book.douban.com/subject/1077847/,司马迁 / （索引）司马贞，（正义）张守节 / 中华书局 / 1982-11 / 125.00,9.5,21417,史家之绝唱，无韵之离骚
我们仨,我们仨,https://book.douban.com/subject/1023045/,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,8.7,283699,家庭生活回忆录
彷徨,彷徨,https://book.douban.com/subject/1449348/,鲁迅 / 人民文学出版社 / 1973-3 / 0.37元,9.1,49795,路漫漫其修远兮，吾将上下而求索
邓小平时代,Deng Xiaoping and the Transformation of China,https://book.douban.com/subject/20424526/,[美] 傅高义 / 冯克利 / 生活·读书·新知三联书店 / 2013-1 / 88.00元,9.2,46946,个人命运背后的历史变局
浪潮之巅,浪潮之巅,https://book.douban.com/subject/6709783/,吴军 / 电子工业出版社 / 2011-8 / 55.00元,9.0,31028,了解IT领域的入门读物
文学回忆录:1989—1994, : 1989—1994 ,https://book.douban.com/subject/20440644/,木心 口述 / 广西师范大学出版社 / 2013-1-10 / 98.00元,9.1,40246,木心留给世界的礼物
西游记（全二册）,西游记（全二册）,https://book.douban.com/subject/1029553/,吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元,8.9,73418,神魔皆有人情，精魅亦通世故
野草,野草,https://book.douban.com/subject/1915958/,鲁迅 / 人民文学出版社 / 1973-3 / 0.20元,9.4,34127,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
中国少年儿童百科全书（全四册）,中国少年儿童百科全书（全四册）,https://book.douban.com/subject/1028409/,林崇德 主编 / 浙江教育出版社 / 1991-4 / 168.00元,9.4,13629,
上帝掷骰子吗:量子物理史话, : 量子物理史话 ,https://book.douban.com/subject/1467022/,曹天元 / 辽宁教育出版社 / 2006-1 / 32.00元,9.2,30288,量子物理史话
爱你就像爱生命,爱你就像爱生命,https://book.douban.com/subject/3071717/,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,8.8,103230,王小波与李银河的两地书
树上的男爵,The Baron in the Trees,https://book.douban.com/subject/6789605/,[意] 伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 30.00元,9.1,41333,是不是真的只有先与人疏离，才能最终与他们在一起？
这些人，那些事,这些人，那些事,https://book.douban.com/subject/6388661/,吴念真 / 译林出版社 / 2011-9 / 28.00元,8.8,62466,平淡叙述下的惊心动魄
卡拉马佐夫兄弟,Бра́тья Карама́зовы,https://book.douban.com/subject/1856494/,[俄] 费奥多尔·陀思妥耶夫斯基 / 荣如德 / 上海译文出版社 / 2006-8 / 25.00元,9.4,24043,错综复杂的社会、家庭矛盾和人性悲剧
道德经,道德经,https://book.douban.com/subject/1059258/,黄元吉 / 陕西人民出版社 / 1996-10 / 4.50元,9.5,17025,中国历史上首部完整的哲学著作
台北人,台北人,https://book.douban.com/subject/5337248/,白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,8.9,55304,白先勇短篇小说集
诗经,诗经,https://book.douban.com/subject/1883245/,孔丘 编订 / 北京出版社 / 2006-7 / 19.90元,9.4,24081,思无邪
飞鸟集,飞鸟集,https://book.douban.com/subject/1058661/,[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元,8.9,59803,一个淡泊清透的世界
边城,边城,https://book.douban.com/subject/1057244/,沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元,8.7,208830,一切充满了善，然而到处是不凑巧
人间词话,人间词话,https://book.douban.com/subject/1203426/,王国维 / 上海古籍出版社 / 1998-12 / 9.80元,9.0,49204,以新眼光评旧文学
永恒的终结:关于时间旅行的终极奥秘和恢宏构想, : 关于时间旅行的终极奥秘和恢宏构想 ,https://book.douban.com/subject/25829693/,[美] 艾萨克·阿西莫夫 / 崔正男 / 江苏凤凰文艺出版社 / 2014-9 / 32.00元,9.0,35586,关于时间旅行的终极奥秘和恢宏构想
